iter	RMSE
194	7.587522445
195	7.585817463
196	7.585041139
197	7.583747432
198	7.582116273
199	7.580682579
200	7.578974989
201	7.576358478
202	7.574912205
203	7.573220244
204	7.573010412
205	7.570687798
206	7.570613618
207	7.568601108
208	7.567740747
209	7.564566211
210	7.564447766
211	7.564015377
212	7.563814673
213	7.562347287
214	7.561249133
215	7.557787795
216	7.557451558
217	7.557397612
218	7.555669433
219	7.552804064
220	7.552772202
221	7.551896468
222	7.551811725
223	7.551465359
224	7.549917824
225	7.548535289
226	7.547600758
227	7.547534706
228	7.547514151
229	7.547484706
230	7.546477718
231	7.545691002
232	7.543499059
233	7.543463503
234	7.542386411
235	7.540469281
236	7.540415097
237	7.539265159
238	7.537043237
239	7.535689969
240	7.535656767
241	7.535368936
242	7.534797539
243	7.534756116
244	7.533807276
245	7.529421575
246	7.527926345
247	7.527479896
248	7.526460631
249	7.526439252
250	7.525058997
251	7.524071913
252	7.522932026
253	7.518923671
254	7.517768838
255	7.515996243
256	7.515193562
257	7.513894631
258	7.513628653
259	7.511848532
260	7.510994913
261	7.50972465
262	7.507906778
263	7.506214862
264	7.50377812
265	7.502582517
266	7.500453972
267	7.499210057
268	7.494834435
269	7.490501437
270	7.487313871
271	7.485717396
272	7.484154224
273	7.482957615
274	7.481962919
275	7.48084672
276	7.478372293
277	7.477553891
278	7.475533804
279	7.473041091
280	7.472210336
281	7.47110788
282	7.468978609
283	7.468751147
284	7.465533574
285	7.462138899
286	7.455755881
287	7.454790457
288	7.453113028
289	7.452625755
290	7.451777551
291	7.451277145
292	7.450605442
293	7.449709446
294	7.448901255
295	7.44808837
296	7.446279076
297	7.445154555
298	7.444640759
299	7.441926825
300	7.441165133
301	7.440572714
302	7.439700819
303	7.438975889
304	7.436949489
305	7.436333311
306	7.435086167
307	7.43441073
308	7.434103271
309	7.433875936
310	7.43046935
311	7.429042133
312	7.42782961
313	7.427316859
314	7.427009223
315	7.425161843
316	7.424475827
317	7.423609045
318	7.422301616
319	7.421645575
320	7.418725822
321	7.418683659
322	7.418233767
323	7.416611031
324	7.415119215
325	7.413793711
326	7.410582769
327	7.408637323
328	7.407025318
329	7.404785934
330	7.403345891
331	7.40285193
332	7.401241169
333	7.399867224
334	7.398861814
335	7.398407624
336	7.397988188
337	7.396605754
338	7.394335438
339	7.394319747
340	7.393899663
341	7.39315303
342	7.392604903
343	7.39128234
344	7.390884771
345	7.389039512
346	7.387739424
347	7.386873037
348	7.386424724
349	7.386010238
350	7.383870033
351	7.382119798
352	7.381788204
353	7.379114996
354	7.378338291
355	7.377409066
356	7.376226786
357	7.375931473
358	7.375488832
359	7.374804503
360	7.374160534
361	7.373596183
362	7.373043686
363	7.371891222
364	7.370705141
365	7.370590002
366	7.368316156
367	7.367443486
368	7.36653267
369	7.364398243
370	7.362569782
371	7.36195484
372	7.361392262
373	7.360319385
374	7.35964955
375	7.358196278
376	7.357247096
377	7.356769256
378	7.35649518
379	7.355184735
380	7.352126498
381	7.351418002
382	7.35062658
383	7.349419858
384	7.348720947
385	7.347114474
386	7.346521739
387	7.344122262
388	7.343576024
389	7.343146175
390	7.342692695
391	7.342073542
392	7.34080462
393	7.340484515
394	7.340138152
395	7.339598257
396	7.337638164
397	7.336326811
398	7.334818071
399	7.334371576
400	7.331419769
401	7.331248537
402	7.329782418
403	7.329669258
404	7.328751553
405	7.32801396
406	7.326132912
407	7.325709443
408	7.323406777
409	7.323284162
410	7.322853374
411	7.32213258
412	7.321234208
413	7.319815225
414	7.318889088
415	7.318038879
416	7.316050029
417	7.315008258
418	7.313771948
419	7.313445269
420	7.312139456
421	7.311080171
422	7.310408918
423	7.307060352
424	7.306660902
425	7.30598701
426	7.304207763
427	7.303054512
428	7.302114878
429	7.300604162
430	7.299948969
431	7.299064849
432	7.298699224
433	7.29825232
434	7.297322189
435	7.29671485
436	7.296033749
437	7.295087751
438	7.293106142
439	7.292728919
440	7.290329676
441	7.289740564
442	7.288198976
443	7.287006704
444	7.285945888
445	7.285563638
446	7.282634368
447	7.280010991
448	7.279402287
449	7.278973486
450	7.277107953
451	7.275931801
452	7.275061352
453	7.274071574
454	7.273610416
455	7.273035876
456	7.272539647
457	7.270716991
458	7.270053441
459	7.269138036
460	7.268175454
461	7.266936255
462	7.266562455
463	7.266381798
464	7.26518148
465	7.264629905
466	7.264100233
467	7.263367187
468	7.262119957
469	7.261389532
470	7.260883176
471	7.260346097
472	7.256124641
473	7.254939589
474	7.254737579
475	7.254471997
476	7.252507313
477	7.252035084
478	7.251820202
479	7.249950886
480	7.248125341
481	7.247808239
482	7.245348131
483	7.244006445
484	7.243516976
485	7.24093455
486	7.239995067
487	7.239544768
488	7.238818769
489	7.23859922
490	7.237240107
491	7.23577028
492	7.235486849
493	7.233893802
494	7.233024656
495	7.232335695
496	7.232101252
497	7.231288244
498	7.230914697
499	7.230115079
500	7.229196557
501	7.227223742
502	7.226778016
503	7.226018894
504	7.224643068
505	7.224333211
506	7.223468842
507	7.222041907
508	7.221644227
509	7.219906028
510	7.217989999
511	7.216610958
512	7.215468265
513	7.214471912
514	7.213365541
515	7.212716021
516	7.212123514
517	7.211771179
518	7.210365573
519	7.210112046
520	7.208960152
521	7.20883503
522	7.208226194
523	7.206851608
524	7.206261031
525	7.205266685
526	7.204877691
527	7.204591441
528	7.203658231
529	7.201941799
530	7.201555051
531	7.20124497
532	7.200101928
533	7.198991819
534	7.198676152
535	7.197880561
536	7.196997796
537	7.193886656
538	7.192739772
539	7.19188806
540	7.190515016
541	7.189393496
542	7.188807774
543	7.188125805
544	7.187658117
545	7.187214233
546	7.186008684
547	7.183353352
548	7.182311433
549	7.182015309
550	7.181241077
551	7.180999174
552	7.179661177
553	7.179029032
554	7.178444573
555	7.177119882
556	7.176859984
557	7.176098957
558	7.175257526
559	7.174652832
560	7.17407768
561	7.173034433
562	7.171575677
563	7.17087072
564	7.170586847
565	7.169834313
566	7.169086174
567	7.168024966
568	7.167687079
569	7.167316005
570	7.166660485
571	7.165902593
572	7.164853463
573	7.164363231
574	7.164005366
575	7.163830584
576	7.163771657
577	7.16189514
578	7.161013544
579	7.159956223
580	7.15837235
581	7.1571947
582	7.156824738
583	7.15594181
584	7.155480647
585	7.155053556
586	7.154359515
587	7.152874826
588	7.152104484
589	7.151915155
590	7.150128824
591	7.149798746
592	7.148092305
593	7.146877265
594	7.146788574
595	7.145892253
596	7.145444328
597	7.143249281
598	7.141618963
599	7.14045739
600	7.140174948
601	7.13945645
602	7.137738663
603	7.137408208
604	7.137042867
605	7.136201196
606	7.134710111
607	7.133484493
608	7.132950339
609	7.130894964
610	7.130222826
611	7.129269349
612	7.128328279
613	7.127524029
614	7.127230464
615	7.126172656
616	7.125106993
617	7.123865452
618	7.123526705
619	7.122818851
620	7.121813603
621	7.118172643
622	7.117913233
623	7.117037378
624	7.115743649
625	7.115494855
626	7.114724239
627	7.114004885
628	7.112699625
629	7.1113939
630	7.110396615
631	7.110160247
632	7.110051656
633	7.10947454
634	7.108652822
635	7.108022666
636	7.106813876
637	7.105888148
638	7.105196895
639	7.104788909
640	7.104090215
641	7.102990526
642	7.102372324
643	7.100575017
644	7.100183033
645	7.09972322
646	7.098885044
647	7.098792929
648	7.097226215
649	7.096501149
650	7.095860144
651	7.094851319
652	7.094335853
653	7.094199635
654	7.093834645
655	7.092837408
656	7.092056154
657	7.091738287
658	7.090100011
659	7.089241335
660	7.087983574
661	7.086804663
662	7.086270084
663	7.085482924
664	7.084217543
665	7.083736998
666	7.083362415
667	7.082547246
668	7.08230067
669	7.081556125
670	7.080413483
671	7.080265441
672	7.07895755
673	7.078706664
674	7.078044768
675	7.077287463
676	7.076107225
677	7.074313157
678	7.072377334
679	7.071609718
680	7.070281662
681	7.069979168
682	7.068261578
683	7.067925569
684	7.066651305
685	7.066260385
686	7.064128263
687	7.063303619
688	7.061823428
689	7.061271868
690	7.06095514
691	7.060913336
692	7.060369394
693	7.058658165
694	7.058227871
695	7.056693632
696	7.055798519
697	7.055368144
698	7.055089829
699	7.053410279
700	7.052970775
701	7.052418882
702	7.051757094
703	7.050330378
704	7.048673272
705	7.046743828
706	7.045724637
707	7.044481971
708	7.043002572
709	7.039283404
710	7.039154898
711	7.038548611
712	7.037604942
713	7.036747454
714	7.035648602
715	7.035011336
716	7.034711336
717	7.034442445
718	7.034014638
719	7.03332216
720	7.030778076
721	7.030302937
722	7.029264654
723	7.024259699
724	7.023518599
725	7.022915295
726	7.021798998
727	7.021149377
728	7.020939848
729	7.020012532
730	7.018939696
731	7.018020314
732	7.017640973
733	7.01736517
734	7.015317873
735	7.014500008
736	7.014161904
737	7.012424093
738	7.011203828
739	7.010277824
740	7.00978386
741	7.007876127
742	7.007609836
743	7.006279271
744	7.004750995
745	7.004009688
746	7.003723802
747	7.002222377
748	7.001773282
749	7.001124048
750	7.000139884
751	6.999340918
752	6.998130792
753	6.997347567
754	6.995791422
755	6.995268642
756	6.993643496
757	6.992037141
758	6.991226868
759	6.990655351
760	6.989821218
761	6.988789704
762	6.988658958
763	6.987241673
764	6.98523865
765	6.984968578
766	6.984745561
767	6.984192212
768	6.983557081
769	6.982999585
770	6.982088658
771	6.981964851
772	6.980294809
773	6.979583109
774	6.978836645
775	6.978336142
776	6.978005631
777	6.977035643
778	6.976148815
779	6.974939708
780	6.974758108
781	6.97447701
782	6.972217578
783	6.969343319
784	6.96858025
785	6.96815803
786	6.967755182
787	6.966999226
788	6.966898548
789	6.965790937
790	6.964142101
791	6.960803797
792	6.960163756
793	6.95954681
794	6.958842057
795	6.958385292
796	6.95779574
797	6.957070338
798	6.956411365
799	6.955831252
800	6.954385745
801	6.95391687
802	6.953289762
803	6.952176963
804	6.951129267
805	6.950110068
806	6.94983596
807	6.948946432
808	6.948562325
809	6.947821508
810	6.9471618
811	6.946595419
812	6.945610026
813	6.945163679
814	6.94476816
815	6.943544944
816	6.943008526
817	6.94160475
818	6.941159705
819	6.940925895
820	6.940387723
821	6.939602546
822	6.938431253
823	6.937996596
824	6.937097874
825	6.935032217
826	6.934121358
827	6.933528768
828	6.932225562
829	6.931922368
830	6.931083231
831	6.93004805
832	6.929563336
833	6.929343674
834	6.928640499
835	6.928294776
836	6.927174576
837	6.92610544
838	6.925468827
839	6.924922969
840	6.924577917
841	6.924267773
842	6.922820721
843	6.922193323
844	6.921591079
845	6.919107689
846	6.918666182
847	6.917981466
848	6.917198098
849	6.91690572
850	6.916353333
851	6.915015284
852	6.914699815
853	6.914044182
854	6.912549919
855	6.912088516
856	6.911640877
857	6.911009126
858	6.910163091
859	6.909302066
860	6.90880013
861	6.904909584
862	6.904392536
863	6.904035189
864	6.903634802
865	6.903242934
866	6.902432678
867	6.901585141
868	6.900522974
869	6.89922862
870	6.898206936
871	6.897001903
872	6.895941598
873	6.895271334
874	6.894944933
875	6.893797493
876	6.893470744
877	6.892190522
878	6.891982309
879	6.891664075
880	6.891387729
881	6.891213137
882	6.890598719
883	6.890054537
884	6.889745262
885	6.889200091
886	6.888514851
887	6.886776896
888	6.886475897
889	6.88569848
890	6.885567106
891	6.885105695
892	6.884364997
893	6.883642065
894	6.883142239
895	6.882456408
896	6.881463817
897	6.881425738
898	6.881168253
899	6.880928541
900	6.879784128
901	6.879152322
902	6.878721514
903	6.877291042
904	6.875694688
905	6.874362874
906	6.874205671
907	6.872623393
908	6.871925942
909	6.87125177
910	6.870658368
911	6.869151286
912	6.868571481
913	6.86660717
914	6.865918914
915	6.86476967
916	6.863677363
917	6.863181496
918	6.862754885
919	6.861721351
920	6.86135234
921	6.860160793
922	6.859022256
923	6.857932895
924	6.856862878
925	6.856676214
926	6.855642978
927	6.854642158
928	6.853996113
929	6.8524683
930	6.851275665
931	6.851045142
932	6.850768372
933	6.849171942
934	6.846353025
935	6.845157076
936	6.844702782
937	6.844308831
938	6.843446225
939	6.842858398
940	6.842183794
941	6.841663573
942	6.841332922
943	6.839513906
944	6.839027298
945	6.837959738
946	6.837304524
947	6.836854173
948	6.836270305
949	6.835764996
950	6.835219494
951	6.834620247
952	6.834088532
953	6.832806455
954	6.831933597
955	6.831027165
956	6.830493189
957	6.829942824
958	6.82984192
959	6.829401314
960	6.827239371
961	6.827186935
962	6.826263238
963	6.825347755
964	6.824726294
965	6.824575697
966	6.823011812
967	6.822196592
968	6.821520025
969	6.820886027
970	6.819648023
971	6.819443167
972	6.815284417
973	6.814538144
974	6.813757088
975	6.812237835
976	6.811154141
977	6.810822321
978	6.809814223
979	6.80913601
980	6.808924222
981	6.808558036
982	6.808481059
983	6.808191064
984	6.80686793
985	6.80618522
986	6.805836594
987	6.804596903
988	6.804547159
989	6.803825226
990	6.802543905
991	6.801363732
992	6.800370606
993	6.799913552
994	6.799685217
995	6.797210894
996	6.796052362
997	6.795340934
998	6.795201857
999	6.795026176
